rows,columns,rewards,score,garden
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2142764415
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144728415
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144728447
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144730463
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144730495
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144859487
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144859519
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144860862
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144860863
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144860926
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144860927
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144861055
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144861535
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2144861567
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673210719
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673210751
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673212767
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673212799
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673341791
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673341823
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343166
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343167
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343230
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343231
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343359
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343839
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2673343871
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681599327
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681599359
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681601375
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681601407
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681730399
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681730431
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681731774
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681731775
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681731838
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681731839
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681731967
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681732447
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,2681732479
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,3198937790
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,3198937791
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,3198937854
6,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",4,3198937855
